record_id,category,status,order_value_inr,days_since_created,delayed_shipment
NYK001,Home,Delivered,2175,30,True
NYK002,Apparel,Shipped,2897,5,False
NYK003,Beauty,Returned,1018,21,False
NYK004,Electronics,Placed,21170,12,False
NYK005,Apparel,Returned,2360,22,False
NYK006,Footwear,Refunded,7489,16,False
NYK007,Beauty,Delivered,6951,19,False
NYK008,Beauty,Shipped,5708,28,True
NYK009,Home,Placed,6828,30,False
NYK010,Apparel,Placed,5629,15,False
NYK011,Apparel,Shipped,4784,22,False
NYK012,Apparel,Delivered,2650,18,True
NYK013,Beauty,Delivered,6612,12,False
NYK014,Electronics,Shipped,1471,17,True
NYK015,Beauty,Returned,2819,24,False
NYK016,Apparel,Shipped,1866,21,True
NYK017,Footwear,Delivered,5479,9,False
NYK018,Beauty,Returned,3590,9,True
NYK019,Home,Returned,8462,25,True
NYK020,Home,Delivered,4424,24,True
NYK021,Home,Delivered,2370,27,False
NYK022,Footwear,Refunded,2528,29,False
NYK023,Beauty,Returned,4191,26,False
NYK024,Home,Delivered,8115,24,True
NYK025,Beauty,Shipped,6431,6,False
NYK026,Beauty,Placed,7154,27,False
NYK027,Home,Shipped,6126,11,False
NYK028,Beauty,Shipped,2976,20,False
NYK029,Beauty,Delivered,900,25,False
NYK030,Home,Placed,975,21,True
NYK031,Beauty,Placed,948,21,False
NYK032,Home,Shipped,7688,15,False
NYK033,Beauty,Delivered,5364,26,True
NYK034,Electronics,Shipped,7088,18,False
NYK035,Footwear,Delivered,3897,28,False
NYK036,Beauty,Delivered,4670,14,False
NYK037,Home,Placed,8733,2,False
NYK038,Beauty,Refunded,6226,19,False
NYK039,Footwear,Shipped,6350,14,False
NYK040,Apparel,Shipped,2017,22,True
NYK041,Electronics,Delivered,19709,20,True
NYK042,Beauty,Delivered,4357,8,False
NYK043,Apparel,Delivered,4708,5,False
NYK044,Footwear,Refunded,2950,22,False
NYK045,Beauty,Delivered,7677,10,False
NYK046,Apparel,Refunded,3845,12,False
NYK047,Apparel,Delivered,3126,2,False
NYK048,Beauty,Delivered,6808,24,False
NYK049,Apparel,Delivered,4372,25,False
NYK050,Apparel,Delivered,5343,24,False
